"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C36","CAPC2012N","12.975mm","27.85mm","12.975mm","27.85mm","12.975mm","27mm","T","90.00","Cap"
"R30","RESC2012N","16.85mm","27.85mm","16.85mm","27.85mm","16.85mm","28.75mm","T","270.00","Res2"
"R29","RESC2012N","16.85mm","37.45mm","16.85mm","37.45mm","16.85mm","36.55mm","T","90.00","Res2"
"C35","CAPC2012N","10.875mm","17.75mm","10.875mm","17.75mm","10.875mm","18.6mm","T","270.00","Cap"
"C34","CAPC2012N","10.975mm","27.85mm","10.975mm","27.85mm","10.975mm","28.7mm","T","270.00","Cap"
"R28","RESC2012N","18.725mm","8.75mm","18.725mm","8.75mm","18.725mm","7.85mm","T","90.00","Res2"
"R27","RESC2012N","16.825mm","8.75mm","16.825mm","8.75mm","16.825mm","7.85mm","T","90.00","Res2"
"P4","PJ-313E8-B-SMT","6.8mm","4.4mm","0mm","4.4mm","1.8mm","7.65mm","T","90.00","Phonejack4"
"RP1","RK12L12","43.1mm","9.8mm","44.75mm","9.8mm","44.75mm","4.8mm","T","360.00","10k"
"R26","RESC2012N","10.825mm","21.25mm","10.825mm","21.25mm","10.825mm","20.35mm","T","90.00","Res2"
"C32","CAPC2012N","28.275mm","11.75mm","28.275mm","11.75mm","28.275mm","10.9mm","T","90.00","Cap"
"C31","CAPC2012N","26.275mm","11.75mm","26.275mm","11.75mm","26.275mm","10.9mm","T","90.00","Cap"
"C30","CAPC2012N","23.525mm","18.5mm","23.525mm","18.5mm","22.675mm","18.5mm","T","0.00","Cap"
"C29","CAPC2012N","14.775mm","21.25mm","14.775mm","21.25mm","14.775mm","22.1mm","T","270.00","Cap"
"C28","CAPC2012N","12.775mm","21.25mm","12.775mm","21.25mm","12.775mm","22.1mm","T","270.00","Cap"
"C27","CAPC2012N","21.575mm","11mm","21.575mm","11mm","22.425mm","11mm","T","180.00","Cap"
